model1,country1,model2,country2,symbol,industry,country,covariance,r_coeff,std1,std2,time
Mistral,EU,Doubao,China,BABA,tech,China,16.632444231742916,0.9969513818481104,3.3429349421109475,3.9924929555354254,daily
Mistral,EU,Doubao,China,1211.HK,auto,China,311.64065154185647,0.9821828998942378,17.335618118715626,14.642404174178502,daily
Mistral,EU,Doubao,China,0941.HK,comm,China,0.11962155462357016,0.7342352344450199,0.5251384906961021,0.24819347291981747,daily
Mistral,EU,Doubao,China,DTE.DE,comm,EU,0.05262570768795089,0.9254833864884533,0.21302809694723943,0.21354156504062646,daily
Mistral,EU,Doubao,China,MBGYY,auto,EU,0.15241474894332752,0.9930069761548065,0.3709021966495504,0.3310589071449371,daily
Mistral,EU,Doubao,China,IFNNY,tech,EU,0.16060807879119282,0.9660989333997101,0.4017265123091903,0.33105890714493647,daily
Mistral,EU,Doubao,China,SPX,index,US,2562.7227862110376,0.8746255971393363,51.103020015127754,45.86937976471886,daily
Mistral,EU,Doubao,China,FXI,index,China,0.359761502050952,0.97046487415107,0.5580749227645431,0.5314132102234579,daily
Mistral,EU,Qwen,China,AMZN,tech,US,7.190970530626689,0.9963284806919471,2.388884027265553,2.417017997450577,daily
Mistral,EU,Qwen,China,GM,auto,US,0.3403109712018685,0.9692408096079802,0.5019904858421886,0.5595498190509934,daily
Mistral,EU,Qwen,China,T,comm,US,0.039503103141070674,0.8171011309040954,0.19257458646799772,0.2008382433701307,daily
Mistral,EU,Qwen,China,BABA,tech,China,16.87376439790879,0.9923890411010416,3.3429349421109475,4.069041164697158,daily
Mistral,EU,Qwen,China,1211.HK,auto,China,360.5897888537594,0.9948642359043106,17.335618118715626,16.726314597065315,daily
Mistral,EU,Qwen,China,0941.HK,comm,China,0.20830977943951512,0.8961424004665284,0.5251384906961021,0.35411862419251683,daily
Mistral,EU,Qwen,China,DTE.DE,comm,EU,0.033931048027533224,0.9347183632284604,0.21302809694723943,0.13632314550361585,daily
Mistral,EU,Qwen,China,MBGYY,auto,EU,0.16419032856510604,0.9873011185440042,0.3709021966495504,0.35869764426324297,daily
Mistral,EU,Qwen,China,IFNNY,tech,EU,0.1636344876553354,0.9938896810170276,0.4017265123091903,0.32786582621554256,daily
Mistral,EU,Qwen,China,SPX,index,US,2473.6837275467756,0.8885835101303516,51.103020015127754,43.58021248227231,daily
Mistral,EU,Qwen,China,FXI,index,China,0.3675933712516718,0.9787145033323814,0.5580749227645431,0.5384050519822419,daily
Cohere,Canada,Claude,US,AMZN,tech,US,3.631249999999998,0.7340431584075972,2.280350850198276,1.7354930135267022,daily
Cohere,Canada,Claude,US,GM,auto,US,0.11460000000000005,0.3952491211849084,0.4079215610874229,0.5686264151444251,daily
Cohere,Canada,Claude,US,T,comm,US,0.02575000000000005,0.7028203854527261,0.21354156504062666,0.13725887949418794,daily
Cohere,Canada,Claude,US,BABA,tech,China,11.863000000000014,0.934221956871931,3.1368774282716245,3.238447776327421,daily
Cohere,Canada,Claude,US,1211.HK,auto,China,117.43499999999992,0.8157162179349499,10.423051376636305,11.049778278318524,daily
Cohere,Canada,Claude,US,0941.HK,comm,China,0.06590000000000014,0.7926876392282688,0.2576819745345033,0.25810075552000983,daily
Cohere,Canada,Claude,US,DTE.DE,comm,EU,0.017500000000000064,0.9572350288415681,0.10770329614269003,0.13579396157414436,daily
Cohere,Canada,Claude,US,MBGYY,auto,EU,0.09240000000000027,0.908656927120481,0.348711915483254,0.2332895196960212,daily
Cohere,Canada,Claude,US,IFNNY,tech,EU,0.04349999999999997,0.7143637266691105,0.18973665961010283,0.2567489045740998,daily
Cohere,Canada,Claude,US,SPX,index,US,1332.0100000000032,0.8946957769145567,37.62977544445356,31.65122026083676,daily
Cohere,Canada,Claude,US,FXI,index,China,0.26495000000000074,0.9666885992648079,0.48826222462934893,0.4490701504219589,daily
Cohere,Canada,Gemini,US,AMZN,tech,US,6.691249999999998,0.9711059794702717,2.280350850198276,2.41729104577831,daily
